title;system;thumbnail
Battle Pingpong (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Battle%20Pingpong%20(Japan).png
Battle Space (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Battle%20Space%20(Japan).png
Battle Unit Zeoth (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Battle%20Unit%20Zeoth%20(Japan).png
"Battle Unit Zeoth (USA, Europe)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Battle%20Unit%20Zeoth%20(USA,%20Europe).png"
BattleCity (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/BattleCity%20(Japan).png
"Battleship (USA, Europe)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Battleship%20(USA,%20Europe).png"
Battletoads (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Battletoads%20(Japan).png
"Battletoads (USA, Europe)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Battletoads%20(USA,%20Europe).png"
Battletoads in Ragnarok's World (Europe);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Battletoads%20in%20Ragnarok's%20World%20(Europe).png
Battletoads in Ragnarok's World (USA);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Battletoads%20in%20Ragnarok's%20World%20(USA).png
Battletoads-Double Dragon (Europe);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Battletoads-Double%20Dragon%20(Europe).png
Battletoads-Double Dragon (USA);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Battletoads-Double%20Dragon%20(USA).png
"Beavis and Butt-head (USA, Europe)";gb;
Beethoven (Europe) (SGB Enhanced);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Beethoven%20(Europe)%20(SGB%20Enhanced).png
Beetlejuice (USA);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Beetlejuice%20(USA).png
Best of the Best - Championship Karate (Europe);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Best%20of%20the%20Best%20-%20Championship%20Karate%20(Europe).png
Best of the Best - Championship Karate (USA);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Best%20of%20the%20Best%20-%20Championship%20Karate%20(USA).png
Bikkuri Nekketsu Shin Kiroku! - Dokodemo Kin Medal (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Bikkuri%20Nekketsu%20Shin%20Kiroku!%20-%20Dokodemo%20Kin%20Medal%20(Japan).png
"Bill & Ted's Excellent Game Boy Adventure - A Bogus Journey! (USA, Europe)";gb;
